-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.038,  0.214
-183.800, 80.193, 0.110,  0.247
-183.799, 80.185, 0.248,  0.280
-183.798, 80.173, 0.362,  0.313
-183.797, 80.157, 0.492,  0.346
-183.795, 80.136, 0.624,  0.379
-183.793, 80.109, 0.847,  0.412
-183.790, 80.074, 1.060,  0.445
-183.787, 80.032, 1.270,  0.478
-183.783, 79.983, 1.482,  0.511
-183.779, 79.928, 1.667,  0.544
-183.775, 79.868, 1.814,  0.577
-183.770, 79.805, 1.922,  0.610
-183.765, 79.739, 1.992,  0.643
-183.760, 79.672, 2.028,  0.676
-183.755, 79.605, 2.035,  0.709
-183.750, 79.539, 2.020,  0.742
-183.745, 79.473, 1.988,  0.775
-183.740, 79.409, 1.952,  0.808
-183.734, 79.347, 1.912,  0.841
-183.729, 79.285, 1.874,  0.874
-183.724, 79.224, 1.837,  0.907
-183.719, 79.165, 1.804,  0.940
-183.714, 79.107, 1.776,  0.973
-183.709, 79.049, 1.753,  1.006
-183.704, 78.991, 1.735,  1.039
-183.699, 78.934, 1.723,  1.072
-183.694, 78.877, 1.717,  1.105
-183.689, 78.821, 1.715,  1.138
-183.684, 78.764, 1.718,  1.171
-183.678, 78.707, 1.724,  1.204
-183.673, 78.649, 1.733,  1.237
-183.668, 78.591, 1.745,  1.270
-183.662, 78.533, 1.757,  1.303
-183.657, 78.474, 1.770,  1.336
-183.651, 78.415, 1.783,  1.369
-183.645, 78.355, 1.795,  1.402
-183.640, 78.295, 1.806,  1.435
-183.634, 78.235, 1.816,  1.468
-183.628, 78.175, 1.823,  1.501
-183.622, 78.114, 1.830,  1.534
-183.616, 78.053, 1.835,  1.567
-183.610, 77.992, 1.838,  1.600
-183.604, 77.931, 1.841,  1.633
-183.598, 77.870, 1.842,  1.666
-183.592, 77.809, 1.844,  1.699
-183.586, 77.748, 1.845,  1.732
